amfi_code,scheme_name,return_3yr_pct,expense_ratio_pct,Sharpe_Ratio,Alpha,maximum_drawdown,Return_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,Score,Fund_Score
120503,ICICI Pru Bluechip Fund - Regular - Growth,11.54,1.42,0.7979728586052844,0.17703302365844073,-0.13897862823061635,33.0,17.0,17.0,20.0,27.0,23.25,40.9090909090909
119093,Axis Bluechip Fund - Direct - Growth,12.14,0.75,0.12961449795669325,0.08232801295222093,-0.21751396370148224,29.0,29.0,28.0,8.0,10.0,23.75,39.01515151515151
118635,Nippon India ETF Nifty 50 BeES,11.77,0.89,0.6648569985490621,0.1513635464823924,-0.1165062450540909,32.0,19.0,23.0,13.0,31.0,24.0,38.06818181818181
102886,UTI Mid Cap Fund - Regular - Growth,15.61,1.51,-0.2058316078547031,0.02896939786637944,-0.2800112356639287,12.0,36.0,40.0,24.5,6.0,24.875000000000004,34.753787878787854
102885,UTI Nifty 50 Index Fund - Regular - Growth,12.1,1.57,0.817099337349437,0.17048756803412696,-0.1085986215250232,30.0,16.0,19.0,34.0,34.0,25.299999999999997,33.1439393939394
149322,DSP Top 100 Equity Fund - Regular - Growth,12.82,1.54,0.46403744922047735,0.13173190226099432,-0.14844576917771746,25.0,25.0,24.0,30.5,25.0,25.625,31.91287878787878
120841,Kotak Bluechip Fund - Regular - Growth,12.25,1.59,0.4942725378672348,0.13042924450705445,-0.1757361416468729,28.0,24.0,25.0,35.0,17.0,26.349999999999998,29.166666666666664
100016,HDFC Top 100 Fund - Regular Plan - Growth,14.84,1.55,-0.20151706755966936,0.03747580763443281,-0.24734440880673303,16.0,35.0,39.0,32.0,7.0,26.85,27.27272727272726
120507,ICICI Pru Liquid Fund - Regular - Growth,7.68,0.74,0.495723392953312,0.06746210411099539,-0.0009773140045925555,35.0,23.0,31.0,7.0,40.0,27.5,24.81060606060605
120844,Kotak Liquid Fund - Regular - Growth,6.18,0.6,-0.08874729621557288,0.06455677495375998,-0.0011629327956168556,37.0,34.0,32.0,3.0,39.0,30.35,14.0151515151515
119092,Axis Bluechip Fund - Regular - Growth,11.84,1.64,0.030784850954585916,0.0689952982167755,-0.1440161790933726,31.0,31.0,30.0,39.5,26.0,31.575,9.374999999999993
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.31,0.55,-0.35662950751436784,0.05074772999976104,-0.08316361763638702,39.0,38.0,35.0,1.0,35.0,31.849999999999998,8.333333333333332
100025,HDFC Short Term Debt Fund - Regular - Growth,7.37,0.56,-0.5670947928476846,0.042817920315060876,-0.04308263824636349,36.0,39.0,38.0,2.0,37.0,32.15,7.196969696969692
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,6.07,0.77,-0.22657538662791568,0.05620895216638369,-0.04328728923970093,38.0,37.0,34.0,9.0,36.0,32.4,6.249999999999996
101208,ABSL Liquid Fund - Regular - Growth,5.14,0.79,-0.8155673679088258,0.060861457957871144,-0.0016224980244717857,40.0,40.0,33.0,11.0,38.0,34.05,0.0
